ASN,CC,Name,IXP Number (IX-F ID),Switch Name,IPv4 Address,IPv6 Address,MAC Address,Vendor,MANRS,IXP Switch
63631,,Guangdong Cloudbase Technology Co. Ltd,110,,,,,,0,110
6619,,Samsung SDS Co.LTD,110,,,,,,0,110
49852,RO,AP Network,37,ilan.b.nx1.as01,86.104.125.168,2001:7f8:64:225:0:4:8063:1,,,0,37+ilan.b.nx1.as01
209116,,webpro.net.ua,761,,185.1.161.32,,,,0,761
6939,,Hurricane Electric,110,,,,,,0,110
205950,,infonet_dc,761,,185.1.160.239,,,,0,761
208673,,avzon,761,,185.1.160.242,,,,0,761
50886,RO,Netfil,37,ilan.cra.teletrans.as01,86.104.125.92,2001:7f8:64:225:0:5:886:1,,,0,37+ilan.cra.teletrans.as01
63928,,Freecomm Hong Kong Limited,110,,,,,,0,110
50581,RO,Ukrainian Telecommunication Group Ltd.,37,ilan.b.nx1.as01,86.104.125.178,2001:7f8:64:225:0:5:581:1,,,0,37+ilan.b.nx1.as01
207192,,vista_207192,761,,185.1.160.199,,,,0,761
7617,,CTM (HK) Limited (Former: TeleOne),110,,,,,,0,110
7473,,SingTel (Europe) Ltd,110,,,,,,0,110
64050,,CTG,110,,,,,,0,110
8674,,Netnod Internet Exchange i Sverige Ab,110,,,,,,1,110
50515,RO,Tier,37,ilan.cra.teletrans.as01,86.104.125.149,2001:7f8:64:225:0:5:515:1,cc:2d:e0:02:9d:32,Routerboard.com,0,37+ilan.cra.teletrans.as01
54994,RO,Hong Kong Seaga Technology Limited,37,ilan.b.nx1.as01,86.104.125.139,2001:7f8:64:225:0:5:4994:1,,,0,37+ilan.b.nx1.as01
57344,RO,Telehouse AD,37,ilan.b.nx1.as01,86.104.125.192,2001:7f8:64:225:0:5:7344:1,,,0,37+ilan.b.nx1.as01
9002,,RETN GmbH,110,,,,,,1,110
208992,,axatel,761,,185.1.160.157,,,,0,761
7713,,Telekomunikasi Indonesia International,110,,,,,,0,110
6648,,Bayan Telecommunications,110,,,,,,0,110
57463,RO,NetIX Communications Ltd.,37,ilan.b.nx1.as01,86.104.125.127,2001:7f8:64:225:0:5:7463:3,,,1,37+ilan.b.nx1.as01
50604,RO,Media Sud,37,ilan.b.nx1.as01,86.104.125.75,2001:7f8:64:225:0:5:604:1,00:09:11:2e:57:40,"Cisco Systems, Inc",0,37+ilan.b.nx1.as01
9269,,Hong Kong Broadband Network Ltd,110,,,,,,0,110
209739,,Tricolor LTD,761,,185.1.160.189,,,,0,761
8075,,Microsoft,110,,,,,,1,110
57136,RO,Viva Telecom,37,ilan.b.nx2.as03,86.104.125.135,2001:7f8:64:225:0:5:7136:1,00:14:1b:16:18:00,"Cisco Systems, Inc",0,37+ilan.b.nx2.as03
9312,,xTom Hong Kong Limited,110,,,,,,0,110
7527,,Japan Internet Exchange Co. Ltd. (AS7527),110,,,,,,1,110
60602,RO,Inovare Prim,37,ilan.b.nx2.as03,86.104.125.54,2001:7f8:64:225:0:6:602:1,00:15:2c:18:ac:00,"Cisco Systems, Inc",0,37+ilan.b.nx2.as03
9409,,Cityline (Hong Kong) Limited,110,,,,,,0,110
7545,,TPG Internet Pty Ltd,110,,,,,,0,110
57815,RO,Netergy Corporate,37,ilan.b.teletrans.as01,86.104.125.103,2001:7f8:64:225:0:5:7815:1,,,0,37+ilan.b.teletrans.as01
9264,,ASNet,110,,,,,,0,110
62350,RO,Infraweb Manage Services Provider,37,ilan.b.radiocom.as01,86.104.125.181,2001:7f8:64:225:0:6:2350:1,,,0,37+ilan.b.radiocom.as01
62350,RO,Infraweb Manage Services Provider,37,ilan.b.m247.as01,86.104.125.190,2001:7f8:64:225:0:6:2350:2,,,0,37+ilan.b.m247.as01
8220,,Colt Technology Services GmbH,110,,,,,,1,110
9381,,HKBN Enterprise Solutions HK Limited (HKBNES),110,,,,,,0,110
9927,,Philippine Global CommunicationsInc.,110,,,,,,0,110
57463,RO,NetIX Communications Ltd.,37,ilan.b.nx1.as01,86.104.125.126,2001:7f8:64:225:0:5:7463:2,,,1,37+ilan.b.nx1.as01
