IXP Number (IX-F ID),Name,Metro,Switch Name,Switch Model,Software Version,Peering DB Facility ID,Coordinates,IPv4,IPv6,MANRS,ASN Sum,IXP Switch
1,LINX LON1 (LINX LON1),London,edge1-in2,,,46,,195.66.224.0/21,2001:7f8:4::/64,1,21,1+edge1-in2
1,LINX LON1 (LINX LON1),London,edge3-thn,,,34,,195.66.224.0/21,2001:7f8:4::/64,1,64,1+edge3-thn
2,AMS-IX,Amsterdam,pxc-dr1-174,,,,,194.62.128.0/24,2001:67c:608::/64,1,11,2+pxc-dr1-174
1,LINX LON1 (LINX LON1),London,edge1-thn,,,34,,195.66.224.0/21,2001:7f8:4::/64,1,74,1+edge1-thn
1,LINX LON1 (LINX LON1),London,edge1-thw,,,835,,195.66.224.0/21,2001:7f8:4::/64,1,52,1+edge1-thw
1,LINX LON1 (LINX LON1),London,edge2-rbs,,,40,,195.66.224.0/21,2001:7f8:4::/64,1,13,1+edge2-rbs
1,LINX LON1 (LINX LON1),London,edge1-rbs,,,40,,195.66.224.0/21,2001:7f8:4::/64,1,18,1+edge1-rbs
2,AMS-IX,Amsterdam,pxc-eq3-153,,,,,194.62.128.0/24,2001:67c:608::/64,1,20,2+pxc-eq3-153
1,LINX LON1 (LINX LON1),London,edge1-tca,,,534,"51.530547,-0.257425",195.66.224.0/21,2001:7f8:4::/64,1,11,1+edge1-tca
1,LINX LON1 (LINX LON1),London,edge3-eq4,,,2262,,195.66.224.0/21,2001:7f8:4::/64,1,17,1+edge3-eq4
1,LINX LON1 (LINX LON1),London,edge1-tcm,,,43,"51.496902,-0.018933",195.66.224.0/21,2001:7f8:4::/64,1,12,1+edge1-tcm
1,LINX LON1 (LINX LON1),London,edge5-eq4,,,2262,,195.66.224.0/21,2001:7f8:4::/64,1,67,1+edge5-eq4
2,AMS-IX,Amsterdam,pxc-eqx-154,,,,,194.62.128.0/24,2001:67c:608::/64,1,19,2+pxc-eqx-154
1,LINX LON1 (LINX LON1),London,edge1-tch,,,45,,195.66.224.0/21,2001:7f8:4::/64,1,50,1+edge1-tch
1,LINX LON1 (LINX LON1),London,core5-in2,,,46,,195.66.230.0/26,,1,0,1+core5-in2
1,LINX LON1 (LINX LON1),London,core3-tch,,,45,,195.66.224.0/21,2001:7f8:4::/64,1,17,1+core3-tch
1,LINX LON1 (LINX LON1),London,core3-in2,,,46,,195.66.230.0/26,,1,14,1+core3-in2
1,LINX LON1 (LINX LON1),London,core4-tch,,,45,,195.66.224.0/21,2001:7f8:4::/64,1,33,1+core4-tch
1,LINX LON1 (LINX LON1),London,edge1-rbs,,,40,,195.66.230.0/26,,1,18,1+edge1-rbs
2,AMS-IX,Haarlem,pxc-evo-169,,,,,194.62.128.0/24,2001:67c:608::/64,1,4,2+pxc-evo-169
1,LINX LON1 (LINX LON1),London,core3-thn,,,34,,195.66.224.0/21,2001:7f8:4::/64,1,95,1+core3-thn
1,LINX LON1 (LINX LON1),London,edge1-tcm,,,43,"51.496902,-0.018933",195.66.230.0/26,,1,12,1+edge1-tcm
2,AMS-IX,Amsterdam,pxc-glo-117,,,,,194.62.128.0/24,2001:67c:608::/64,1,4,2+pxc-glo-117
